bank_ref,value_date,narration,debit_amount
BNK-5076,2026-07-22,Adobe Creative Cloud - PAYMENT,5627.52
BNK-5077,2026-07-23,Amazon Web Services - PAYMENT,8124.19
BNK-5078,2026-07-23,Zomato Corporate - PAYMENT,18633.06
BNK-5079,2026-07-25,Reliance Office Supplies - PAYMENT,35488.77
BNK-5080,2026-07-27,Swiggy Genie - PAYMENT,24154.97
BNK-5082,2026-07-28,Reliance Office Supplies - PAYMENT,5453.94
BNK-5083,2026-07-28,Adobe Creative Cloud - PAYMENT,29009.78
BNK-5084,2026-07-28,Airtel Business - PAYMENT,15042.85
BNK-5081,2026-07-28,Zomato Corporate - PAYMENT,15618.37
BNK-5085,2026-07-29,Airtel Business - PAYMENT,14563.85
BNK-5086,2026-07-31,IndiGo Airlines - PAYMENT,29897.62
BNK-5087,2026-07-31,Zomato Corporate - PAYMENT,12198.33
BNK-5089,2026-08-01,LinkedIn Talent - PAYMENT,14872.95
BNK-5088,2026-08-01,Airtel Business - PAYMENT,14315.41
BNK-5090,2026-08-03,Uber for Business - PAYMENT,13658.65
BNK-5091,2026-08-04,Reliance Office Supplies - PAYMENT,6008.93
BNK-EXTRA-0,2026-08-05,UNIDENTIFIED DEBIT,872.79
BNK-5092,2026-08-06,IndiGo Airlines - PAYMENT,2172.76
BNK-5093,2026-08-07,Google Ads - PAYMENT,15591.09
BNK-5094,2026-08-08,Reliance Office Supplies - PAYMENT,5804.55
BNK-5095,2026-08-08,IndiGo Airlines - PAYMENT,9396.2
BNK-5096,2026-08-08,Adobe Creative Cloud - PAYMENT,17697.61
BNK-5097,2026-08-10,Zomato Corporate - PAYMENT,4695.53
BNK-5098,2026-08-12,Adobe Creative Cloud - PAYMENT,48118.47
BNK-5099,2026-08-13,Uber for Business - PAYMENT,36970.62
BNK-5100,2026-08-13,Swiggy Genie - PAYMENT,16497.91
BNK-5102,2026-08-14,Microsoft Azure - PAYMENT,2527.24
BNK-EXTRA-2,2026-08-14,SMS ALERT CHARGE,219.58
BNK-5101,2026-08-14,Adobe Creative Cloud - PAYMENT,9795.04
BNK-5103,2026-08-15,Google Ads - PAYMENT,6488.73
BNK-5104,2026-08-15,Godrej Interio - PAYMENT,33674.58
BNK-5105,2026-08-17,Adobe Creative Cloud - PAYMENT,15179.76
BNK-EXTRA-1,2026-08-18,BANK SERVICE CHARGE,654.31
BNK-5106,2026-08-20,Ola Fleet - PAYMENT,15801.88
BNK-5107,2026-08-23,Uber for Business - PAYMENT,3946.73
BNK-5108,2026-08-23,Ola Fleet - PAYMENT,10144.87
BNK-5109,2026-08-24,Swiggy Genie - PAYMENT,37506.86
